                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.70957,                0.64299,                 1.2214,                 0.8428,                0.79627,                0.84466,                0.58805,                 1.0776,                 0.8197,                  1.691,             0.00054766,             0.00054766,             0.00054766
                     27,                0.69691,                0.63357,                 1.2041,                0.86018,                0.79342,                0.85173,                0.58328,                  1.079,                0.80612,                 1.6813,             0.00054456,             0.00054456,             0.00054456
                     28,                  0.711,                0.63994,                 1.2227,                0.80754,                0.79246,                0.82964,                0.57572,                 1.0869,                0.82244,                 1.7154,             0.00054147,             0.00054147,             0.00054147
                     29,                0.69591,                0.63109,                 1.2139,                0.85783,                0.78955,                0.85964,                0.58427,                 1.0864,                0.78063,                 1.7156,             0.00053838,             0.00053838,             0.00053838
                     30,                0.70025,                0.63018,                 1.2174,                0.79716,                0.76953,                0.81986,                0.56455,                 1.0791,                0.95217,                 1.6777,             0.00053528,             0.00053528,             0.00053528
                     31,                0.69123,                0.61676,                 1.2066,                0.84619,                0.81308,                0.86689,                0.60412,                 1.0517,                0.77861,                 1.6404,             0.00053219,             0.00053219,             0.00053219
                     32,                0.68064,                0.62078,                 1.2006,                0.84198,                0.81543,                0.86712,                0.58632,                 1.0877,                0.77145,                 1.6928,             0.00052909,             0.00052909,             0.00052909
                     33,                0.68174,                0.61202,                 1.1986,                 0.8614,                0.79401,                0.85296,                0.58751,                 1.0851,                0.82292,                 1.7253,               0.000526,               0.000526,               0.000526
                     34,                 0.6906,                0.61755,                 1.2061,                0.85626,                0.77955,                0.85597,                0.59305,                 1.0758,                0.81722,                 1.6986,             0.00052291,             0.00052291,             0.00052291
                     35,                0.70517,                 0.6432,                 1.2217,                0.85292,                0.81946,                 0.8684,                0.59918,                  1.071,                0.77593,                 1.6733,             0.00051981,             0.00051981,             0.00051981
                     36,                0.70436,                0.63751,                 1.2168,                0.87272,                0.80789,                0.86886,                0.58686,                 1.1038,                0.79656,                 1.7161,             0.00051672,             0.00051672,             0.00051672
                     37,                0.71366,                0.64404,                 1.2239,                0.87164,                0.78995,                0.85314,                0.59108,                 1.0695,                0.79497,                 1.7033,             0.00051363,             0.00051363,             0.00051363
