                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.63119,                0.56514,                 1.1632,                0.84934,                0.79997,                0.85942,                0.59263,                 1.0396,                0.77517,                 1.6561,             0.00050744,             0.00050744,             0.00050744
                     40,                0.63163,                0.54408,                 1.1592,                0.85452,                0.82173,                0.86944,                0.59839,                 1.0424,                0.70688,                  1.664,             0.00050434,             0.00050434,             0.00050434
                     41,                0.63144,                0.54999,                  1.167,                0.87531,                 0.8093,                0.86646,                0.59788,                  1.038,                0.74202,                 1.6782,             0.00050125,             0.00050125,             0.00050125
                     42,                0.61551,                0.53464,                 1.1525,                0.85386,                0.79461,                0.85701,                0.59159,                 1.0337,                0.80114,                 1.6747,             0.00049816,             0.00049816,             0.00049816
                     43,                0.62775,                0.54828,                 1.1603,                 0.8955,                0.79227,                0.87022,                0.59565,                 1.0289,                0.76607,                 1.6687,             0.00049506,             0.00049506,             0.00049506
                     44,                0.61404,                0.55283,                 1.1562,                0.87274,                0.81236,                0.86424,                 0.5959,                 1.0497,                0.72933,                 1.6877,             0.00049197,             0.00049197,             0.00049197
                     45,                0.60852,                0.55628,                 1.1499,                0.85986,                0.81342,                0.86298,                0.59931,                 1.0528,                0.72108,                 1.6788,             0.00048888,             0.00048888,             0.00048888
                     46,                0.61883,                0.54208,                 1.1537,                0.86564,                0.80485,                0.86194,                0.60175,                 1.0391,                  0.704,                 1.6891,             0.00048578,             0.00048578,             0.00048578
                     47,                0.62254,                0.54225,                  1.153,                0.88125,                0.79651,                0.85399,                0.59481,                  1.046,                0.71868,                 1.6833,             0.00048269,             0.00048269,             0.00048269
                     48,                0.61658,                0.53736,                 1.1495,                0.87561,                0.78232,                0.86462,                0.60475,                 1.0332,                0.72673,                 1.6925,             0.00047959,             0.00047959,             0.00047959
                     49,                0.60662,                0.53811,                 1.1472,                0.86229,                 0.8113,                0.86251,                0.59568,                 1.0459,                0.79563,                 1.7108,              0.0004765,              0.0004765,              0.0004765
                     50,                0.59804,                0.52342,                 1.1383,                0.90124,                 0.7931,                0.86623,                0.60996,                 1.0101,                0.82969,                 1.6595,             0.00047341,             0.00047341,             0.00047341
                     51,                0.61324,                0.53354,                 1.1496,                0.84684,                0.82085,                0.86285,                0.60153,                  1.041,                 0.7226,                 1.6811,             0.00047031,             0.00047031,             0.00047031
                     52,                0.60353,                0.53288,                 1.1503,                0.88693,                0.80584,                0.86649,                0.60759,                 1.0263,                0.72047,                 1.6707,             0.00046722,             0.00046722,             0.00046722
                     53,                0.59811,                0.52542,                 1.1398,                0.88982,                0.78658,                0.87123,                0.61034,                 1.0186,                 0.8392,                 1.6957,             0.00046413,             0.00046413,             0.00046413
                     54,                0.59759,                0.52037,                 1.1316,                0.85719,                 0.7924,                0.85549,                0.60629,                 1.0304,                0.76652,                 1.6557,             0.00046103,             0.00046103,             0.00046103
                     55,                0.60246,                0.52538,                 1.1438,                0.86769,                0.78276,                0.85934,                0.60288,                 1.0316,                0.73191,                 1.6725,             0.00045794,             0.00045794,             0.00045794
                     56,                0.59833,                0.52292,                 1.1316,                0.86638,                0.78868,                0.85516,                0.59826,                 1.0283,                0.74871,                 1.6882,             0.00045484,             0.00045484,             0.00045484
                     57,                0.59276,                0.51957,                 1.1375,                 0.8617,                0.81277,                0.86457,                0.60336,                 1.0209,                0.73503,                 1.6728,             0.00045175,             0.00045175,             0.00045175
                     58,                0.58308,                0.50966,                 1.1365,                0.88001,                0.79518,                 0.8615,                0.60125,                 1.0277,                0.72448,                 1.6783,             0.00044866,             0.00044866,             0.00044866
                     59,                0.58932,                0.50892,                 1.1315,                0.88439,                 0.8118,                0.87481,                0.61842,                 1.0124,                0.70731,                 1.6447,             0.00044556,             0.00044556,             0.00044556
                     60,                0.58908,                 0.5088,                 1.1342,                0.85228,                0.80883,                 0.8611,                0.60088,                 1.0316,                0.72792,                 1.6803,             0.00044247,             0.00044247,             0.00044247
                     61,                0.57983,                0.50697,                  1.129,                0.84498,                0.81489,                0.84409,                0.58767,                 1.0517,                 1.0244,                 1.7094,             0.00043937,             0.00043937,             0.00043937
                     62,                0.57295,                 0.5071,                 1.1187,                 0.8721,                0.82406,                0.86977,                0.61106,                 1.0276,                0.78608,                  1.701,             0.00043628,             0.00043628,             0.00043628
                     63,                0.58075,                0.49947,                 1.1327,                0.88395,                0.78625,                0.86739,                0.60563,                 1.0385,                 1.1133,                 1.7078,             0.00043319,             0.00043319,             0.00043319
                     64,                0.58123,                0.49611,                 1.1256,                0.90642,                0.78456,                0.86915,                0.61477,                 1.0232,                0.86609,                 1.6881,             0.00043009,             0.00043009,             0.00043009
                     65,                0.57869,                0.49394,                 1.1251,                0.85984,                0.78955,                0.86243,                0.60351,                 1.0307,                0.76823,                 1.6692,               0.000427,               0.000427,               0.000427
                     66,                0.57573,                0.49285,                 1.1245,                0.88455,                0.80015,                0.87128,                0.60996,                 1.0138,                0.98947,                 1.6598,             0.00042391,             0.00042391,             0.00042391
                     67,                0.58315,                0.50771,                 1.1285,                0.88751,                0.79003,                0.87146,                0.61322,                 1.0256,                0.72924,                 1.6729,             0.00042081,             0.00042081,             0.00042081
                     68,                0.56563,                0.48074,                 1.1181,                0.88598,                 0.8062,                0.87137,                 0.6087,                 1.0272,                0.70394,                 1.6921,             0.00041772,             0.00041772,             0.00041772
                     69,                0.55484,                0.46804,                 1.1057,                0.86093,                0.80972,                0.86989,                0.61041,                 1.0106,                0.89192,                 1.6806,             0.00041462,             0.00041462,             0.00041462
                     70,                0.55627,                0.47441,                 1.1154,                0.86772,                0.81009,                0.86899,                0.61454,                 1.0092,                 0.7432,                  1.656,             0.00041153,             0.00041153,             0.00041153
