                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61118,                0.52814,                 1.1486,                  0.872,                0.79832,                0.87195,                0.61237,                 1.0062,                0.73183,                 1.6336,             0.00020727,             0.00020727,             0.00020727
                      2,                0.57084,                0.48081,                 1.1221,                 0.8691,                0.79466,                0.86383,                0.61088,                  1.029,                0.96472,                 1.6646,             0.00041355,             0.00041355,             0.00041355
                      3,                0.58945,                0.48995,                 1.1292,                0.85328,                0.80446,                0.85358,                0.59497,                  1.019,                0.87248,                 1.6884,             0.00061776,             0.00061776,             0.00061776
                      4,                0.58111,                0.49288,                 1.1333,                0.85932,                0.78879,                0.85784,                 0.5857,                 1.0721,                0.91953,                 1.7345,             0.00061572,             0.00061572,             0.00061572
                      5,                0.60173,                0.50436,                 1.1345,                0.83386,                0.79486,                0.85067,                0.57267,                 1.0875,                0.85322,                 1.7286,             0.00061262,             0.00061262,             0.00061262
                      6,                0.59645,                0.50004,                 1.1399,                0.84256,                0.76232,                0.83933,                0.57598,                 1.0792,                0.87453,                 1.7285,             0.00060953,             0.00060953,             0.00060953
                      7,                0.59948,                0.50963,                 1.1395,                0.84668,                0.78946,                0.84458,                0.58762,                 1.0471,                0.92173,                  1.721,             0.00060644,             0.00060644,             0.00060644
                      8,                0.58727,                0.48761,                 1.1293,                0.83822,                0.78082,                0.83741,                0.57605,                 1.0775,                0.99202,                 1.7262,             0.00060334,             0.00060334,             0.00060334
                      9,                0.59186,                0.50651,                 1.1326,                0.87137,                0.79722,                0.86142,                0.58904,                 1.0659,                0.92925,                  1.722,             0.00060025,             0.00060025,             0.00060025
                     10,                0.59116,                 0.5063,                 1.1353,                0.87079,                0.76649,                0.84879,                0.59138,                 1.0442,                 1.0773,                 1.7059,             0.00059716,             0.00059716,             0.00059716
                     11,                0.59367,                0.51152,                 1.1407,                0.82152,                0.75424,                0.82718,                0.57348,                 1.0208,                0.94464,                 1.6864,             0.00059406,             0.00059406,             0.00059406
                     12,                0.59362,                0.51638,                  1.134,                0.84058,                 0.8089,                0.85321,                0.58712,                 1.0767,                0.75141,                 1.7068,             0.00059097,             0.00059097,             0.00059097
                     13,                 0.5865,                0.49544,                 1.1316,                0.82932,                 0.7838,                0.82944,                0.57568,                 1.0583,                0.80541,                 1.6978,             0.00058787,             0.00058787,             0.00058787
                     14,                0.58468,                0.50593,                 1.1311,                0.85164,                0.79426,                0.84846,                0.57768,                 1.0651,                0.92826,                 1.7369,             0.00058478,             0.00058478,             0.00058478
                     15,                0.59718,                0.51384,                 1.1399,                0.84549,                0.73012,                0.81973,                0.55876,                 1.0515,                0.90621,                 1.6942,             0.00058169,             0.00058169,             0.00058169
                     16,                0.59855,                0.51775,                 1.1381,                0.87545,                0.76734,                0.84679,                0.59386,                  1.024,                0.78055,                 1.6892,             0.00057859,             0.00057859,             0.00057859
                     17,                0.59133,                0.50284,                 1.1316,                0.84167,                0.79929,                 0.8522,                0.58408,                 1.0623,                0.74403,                 1.7294,              0.0005755,              0.0005755,              0.0005755
                     18,                0.58491,                0.50395,                 1.1266,                0.86168,                0.79145,                0.85439,                0.59753,                 1.0329,                0.75776,                 1.6672,             0.00057241,             0.00057241,             0.00057241
                     19,                0.58353,                0.50938,                 1.1288,                0.83895,                0.79396,                0.85762,                0.59631,                 1.0427,                0.80113,                 1.6968,             0.00056931,             0.00056931,             0.00056931
                     20,                0.59714,                0.50864,                 1.1418,                0.83586,                0.81234,                0.86131,                0.60129,                 1.0444,                0.79934,                 1.7161,             0.00056622,             0.00056622,             0.00056622
                     21,                0.58624,                0.50492,                 1.1329,                0.83979,                 0.7941,                0.85287,                0.59259,                 1.0702,                0.96248,                 1.7333,             0.00056313,             0.00056313,             0.00056313
                     22,                0.57854,                 0.4922,                  1.126,                0.85025,                0.79391,                0.84336,                0.58052,                 1.0408,                  1.019,                  1.702,             0.00056003,             0.00056003,             0.00056003
                     23,                0.57362,                0.49006,                  1.126,                0.86675,                0.79228,                0.84209,                0.58457,                  1.029,                0.78498,                 1.6968,             0.00055694,             0.00055694,             0.00055694
                     24,                0.58513,                 0.4926,                 1.1242,                0.86367,                0.80315,                0.85509,                0.59192,                  1.045,                0.74265,                 1.6955,             0.00055384,             0.00055384,             0.00055384
                     25,                0.58635,                0.50103,                 1.1357,                 0.8724,                0.77682,                0.85829,                0.59654,                 1.0402,                0.79904,                 1.6499,             0.00055075,             0.00055075,             0.00055075
                     26,                0.62541,                0.54058,                 1.1614,                0.82727,                0.76998,                0.82866,                0.57529,                 1.0619,                 1.1224,                 1.6938,             0.00054766,             0.00054766,             0.00054766
                     27,                0.61072,                0.53361,                 1.1438,                0.85248,                0.80629,                0.85476,                0.59338,                 1.0587,                 1.0374,                 1.6909,             0.00054456,             0.00054456,             0.00054456
                     28,                0.62579,                 0.5332,                  1.159,                 0.8765,                0.81074,                0.86172,                0.60406,                  1.035,                0.73691,                 1.6572,             0.00054147,             0.00054147,             0.00054147
                     29,                0.60394,                 0.5259,                 1.1466,                0.84204,                0.78132,                 0.8498,                0.58713,                 1.0455,                0.76262,                 1.6856,             0.00053838,             0.00053838,             0.00053838
                     30,                0.61029,                0.52764,                 1.1519,                0.85106,                0.78445,                 0.8453,                0.58581,                 1.0478,                  0.935,                 1.6879,             0.00053528,             0.00053528,             0.00053528
                     31,                0.60079,                0.51645,                 1.1405,                0.88204,                0.77441,                0.85943,                0.59305,                 1.0454,                 0.9233,                  1.686,             0.00053219,             0.00053219,             0.00053219
                     32,                0.59715,                0.52181,                 1.1404,                 0.8647,                0.82619,                0.87538,                0.60216,                 1.0422,                0.78397,                 1.6863,             0.00052909,             0.00052909,             0.00052909
                     33,                0.60398,                0.52281,                 1.1414,                0.88256,                0.78929,                0.87104,                0.61769,                 1.0314,                0.74213,                 1.7108,               0.000526,               0.000526,               0.000526
                     34,                0.59904,                0.52681,                 1.1422,                0.85393,                  0.798,                0.86022,                0.60252,                 1.0323,                 0.7532,                 1.6802,             0.00052291,             0.00052291,             0.00052291
                     35,                0.61555,                0.52708,                 1.1554,                 0.8484,                0.82861,                0.87069,                0.60623,                 1.0361,                0.71179,                 1.6594,             0.00051981,             0.00051981,             0.00051981
                     36,                0.61051,                0.52777,                 1.1533,                0.88676,                0.80966,                0.87534,                0.60695,                 1.0249,                0.80245,                 1.6648,             0.00051672,             0.00051672,             0.00051672
                     37,                0.62539,                0.54227,                 1.1617,                0.86262,                0.80103,                0.85609,                0.59585,                 1.0364,                0.73438,                 1.6722,             0.00051363,             0.00051363,             0.00051363
                     38,                0.63037,                0.56381,                 1.1638,                0.85082,                0.79684,                0.85166,                0.57932,                 1.0719,                0.87246,                 1.7108,             0.00051053,             0.00051053,             0.00051053
