                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76547,                0.71569,                 1.2623,                0.87327,                0.78242,                0.87426,                0.61403,                0.99283,                0.81066,                 1.5439,             0.00020727,             0.00020727,             0.00020727
                      2,                0.73311,                0.67939,                 1.2423,                0.84426,                0.78386,                0.84045,                0.57973,                   1.02,                 1.1431,                 1.5843,             0.00041355,             0.00041355,             0.00041355
                      3,                0.76315,                0.72095,                 1.2617,                 0.8557,                0.77623,                0.85449,                0.59047,                  1.003,                  1.003,                  1.575,             0.00061776,             0.00061776,             0.00061776
                      4,                0.77144,                0.74564,                 1.2762,                0.83248,                0.76678,                0.84467,                0.57346,                 1.0693,                  0.871,                 1.6578,             0.00061572,             0.00061572,             0.00061572
                      5,                0.76993,                0.73939,                 1.2682,                0.83627,                0.76548,                0.85408,                0.58999,                  1.041,                0.83602,                 1.6173,             0.00061262,             0.00061262,             0.00061262
                      6,                0.78265,                0.73451,                 1.2758,                 0.8255,                0.78734,                0.84825,                0.58308,                 1.0448,                0.80122,                 1.5948,             0.00060953,             0.00060953,             0.00060953
                      7,                0.76617,                 0.7417,                 1.2645,                0.84678,                0.77531,                0.84585,                0.58352,                 1.0329,                 1.2391,                   1.62,             0.00060644,             0.00060644,             0.00060644
                      8,                0.76929,                 0.7268,                 1.2646,                0.84702,                 0.7557,                0.84829,                0.58001,                 1.0692,                0.85839,                 1.6493,             0.00060334,             0.00060334,             0.00060334
                      9,                 0.7702,                  0.735,                 1.2672,                0.77997,                0.81142,                0.84273,                0.57631,                 1.0285,                0.80727,                 1.6004,             0.00060025,             0.00060025,             0.00060025
                     10,                0.77918,                 0.7516,                 1.2752,                0.82585,                0.76738,                0.83565,                0.55196,                 1.1141,                0.86816,                  1.686,             0.00059716,             0.00059716,             0.00059716
                     11,                0.76686,                0.74273,                 1.2682,                0.83622,                0.80717,                0.86804,                0.58589,                 1.0399,                0.84425,                 1.6408,             0.00059406,             0.00059406,             0.00059406
                     12,                  0.766,                0.72232,                 1.2641,                0.86174,                0.78823,                0.86376,                0.58058,                 1.0566,                0.76353,                  1.625,             0.00059097,             0.00059097,             0.00059097
                     13,                0.76045,                0.73203,                 1.2613,                0.85307,                0.76943,                0.84789,                0.57862,                 1.0627,                0.84489,                 1.6204,             0.00058787,             0.00058787,             0.00058787
                     14,                0.75299,                0.72688,                 1.2587,                 0.8356,                0.79688,                0.84711,                0.57083,                 1.0814,                0.95682,                 1.6629,             0.00058478,             0.00058478,             0.00058478
