                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.528,                0.44443,                 1.0936,                0.86336,                 0.8297,                0.87358,                0.62187,                 1.0034,                0.93569,                 1.6653,             0.00020727,             0.00020727,             0.00020727
                      2,                0.50269,                0.41349,                 1.0782,                0.88049,                0.80922,                 0.8632,                0.60428,                 1.0321,                0.94011,                 1.7297,             0.00041355,             0.00041355,             0.00041355
                      3,                0.52501,                0.43056,                 1.0847,                0.84703,                0.80086,                0.86487,                0.60629,                 1.0307,                0.86004,                 1.7328,             0.00061776,             0.00061776,             0.00061776
                      4,                0.51915,                0.43765,                 1.0876,                0.88274,                0.77658,                0.85466,                0.58801,                 1.0686,                0.76888,                 1.7979,             0.00061572,             0.00061572,             0.00061572
                      5,                0.53696,                0.44675,                 1.0904,                0.88392,                0.79491,                0.85739,                0.59267,                 1.0451,                 1.0502,                 1.7412,             0.00061262,             0.00061262,             0.00061262
                      6,                0.53806,                0.44501,                 1.0961,                0.86234,                0.79792,                0.85939,                0.59697,                 1.0614,                0.80243,                 1.7475,             0.00060953,             0.00060953,             0.00060953
                      7,                0.53717,                0.44642,                 1.0962,                0.86117,                0.80473,                0.85997,                 0.5956,                 1.0535,                0.97341,                 1.7684,             0.00060644,             0.00060644,             0.00060644
                      8,                0.52764,                 0.4358,                 1.0877,                0.83912,                0.77039,                0.83474,                 0.5779,                 1.0764,                0.91055,                 1.8018,             0.00060334,             0.00060334,             0.00060334
                      9,                 0.5327,                0.44737,                 1.0929,                 0.8803,                0.80038,                0.86466,                0.60795,                 1.0305,                 1.1035,                 1.7222,             0.00060025,             0.00060025,             0.00060025
                     10,                0.53787,                0.44797,                 1.0986,                0.85059,                0.82212,                0.86279,                0.60059,                 1.0305,                0.70511,                 1.7234,             0.00059716,             0.00059716,             0.00059716
                     11,                0.53465,                0.44978,                 1.0969,                0.85553,                0.77408,                0.84131,                0.57809,                  1.076,                0.82034,                 1.8138,             0.00059406,             0.00059406,             0.00059406
                     12,                0.52827,                0.44652,                 1.0901,                0.85229,                0.80953,                0.86403,                0.60414,                 1.0632,                0.86741,                 1.7627,             0.00059097,             0.00059097,             0.00059097
                     13,                0.52552,                0.43542,                 1.0921,                 0.8737,                0.79666,                0.85612,                0.60045,                 1.0566,                0.83375,                 1.7499,             0.00058787,             0.00058787,             0.00058787
                     14,                0.53271,                0.44928,                 1.0961,                0.84256,                 0.7541,                0.83357,                 0.5753,                 1.0925,                0.85547,                 1.8017,             0.00058478,             0.00058478,             0.00058478
                     15,                0.54189,                0.45207,                 1.0991,                0.84445,                0.79372,                 0.8555,                0.58764,                 1.0686,                0.77399,                 1.7427,             0.00058169,             0.00058169,             0.00058169
                     16,                0.53482,                0.44933,                 1.0929,                0.85571,                0.76604,                0.84085,                0.59013,                 1.0378,                0.77114,                 1.7207,             0.00057859,             0.00057859,             0.00057859
                     17,                0.53741,                0.45307,                 1.0913,                0.85446,                0.81132,                0.86723,                0.60202,                 1.0655,                0.89286,                 1.7644,              0.0005755,              0.0005755,              0.0005755
                     18,                0.53001,                0.44291,                 1.0889,                0.87678,                0.79965,                0.85786,                 0.6034,                 1.0618,                0.75632,                 1.7533,             0.00057241,             0.00057241,             0.00057241
                     19,                0.52717,                0.44723,                 1.0925,                0.85925,                0.79351,                0.86326,                0.60276,                 1.0389,                0.73017,                   1.72,             0.00056931,             0.00056931,             0.00056931
                     20,                0.53912,                0.45325,                 1.0993,                0.87635,                0.78231,                0.86011,                 0.6034,                 1.0575,                0.80374,                 1.7464,             0.00056622,             0.00056622,             0.00056622
