                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84596,                0.88875,                 1.3285,                0.81432,                 0.8048,                0.85438,                0.59317,                  1.039,                0.84314,                 1.6153,             0.00020727,             0.00020727,             0.00020727
                      2,                0.84337,                0.88689,                 1.3243,                0.84923,                0.74025,                0.83891,                0.56062,                 1.1223,                0.94055,                 1.7172,             0.00041355,             0.00041355,             0.00041355
                      3,                0.88135,                0.93563,                 1.3485,                0.80198,                0.73306,                0.81103,                0.52861,                 1.1186,                 1.0087,                 1.7221,             0.00061776,             0.00061776,             0.00061776
                      4,                0.89805,                0.99837,                 1.3788,                0.78535,                0.67768,                0.77694,                0.49559,                 1.1826,                  1.137,                 1.7739,             0.00061572,             0.00061572,             0.00061572
                      5,                0.89353,                0.98886,                 1.3652,                0.81599,                0.74398,                0.80924,                0.53671,                 1.1248,                 1.0008,                 1.7357,             0.00061262,             0.00061262,             0.00061262
                      6,                0.90219,                0.95451,                 1.3672,                0.75321,                0.74719,                0.80837,                0.54681,                 1.1321,                 1.0187,                 1.6786,             0.00060953,             0.00060953,             0.00060953
                      7,                0.87979,                0.96398,                 1.3548,                0.77486,                0.71711,                0.80974,                 0.5424,                 1.0979,                 1.0177,                 1.6601,             0.00060644,             0.00060644,             0.00060644
                      8,                0.87901,                0.94969,                 1.3482,                0.80709,                0.74052,                0.81412,                0.53599,                 1.1319,                0.94017,                 1.7322,             0.00060334,             0.00060334,             0.00060334
                      9,                0.87777,                0.94141,                 1.3537,                0.74885,                0.73905,                 0.7954,                 0.5076,                 1.1619,                   1.05,                 1.7393,             0.00060025,             0.00060025,             0.00060025
                     10,                0.89579,                0.93349,                 1.3675,                0.83501,                0.73313,                0.82212,                0.54695,                 1.1293,                0.95771,                 1.7059,             0.00059716,             0.00059716,             0.00059716
                     11,                0.87271,                0.94681,                 1.3509,                 0.8216,                0.75487,                0.83409,                0.55237,                 1.1368,                0.94899,                  1.725,             0.00059406,             0.00059406,             0.00059406
