                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                0.86918,                0.91755,                  1.345,                0.81499,                0.74822,                0.81387,                0.54125,                 1.1298,                0.96693,                 1.7006,             0.00059097,             0.00059097,             0.00059097
                     13,                0.87237,                0.91778,                 1.3494,                0.82707,                0.73279,                0.81329,                0.54614,                 1.1125,                0.93875,                    1.7,             0.00058787,             0.00058787,             0.00058787
                     14,                0.85975,                0.90863,                 1.3373,                 0.8606,                0.74552,                0.84393,                0.57592,                 1.0934,                0.95216,                 1.6574,             0.00058478,             0.00058478,             0.00058478
                     15,                0.84905,                0.88748,                 1.3336,                0.80946,                0.79161,                0.84618,                0.56881,                 1.0979,                0.87239,                 1.6822,             0.00058169,             0.00058169,             0.00058169
                     16,                0.85562,                0.88301,                 1.3311,                0.81474,                0.77795,                0.84019,                0.56751,                  1.085,                0.87386,                 1.6712,             0.00057859,             0.00057859,             0.00057859
                     17,                0.84015,                0.86286,                 1.3165,                0.77741,                0.72902,                0.80563,                  0.541,                 1.0985,                 1.0106,                 1.6963,              0.0005755,              0.0005755,              0.0005755
                     18,                0.83896,                0.87506,                 1.3206,                0.83165,                0.77221,                0.84199,                0.56202,                 1.1111,                0.91545,                 1.6821,             0.00057241,             0.00057241,             0.00057241
                     19,                  0.834,                0.87165,                  1.322,                0.79065,                 0.7331,                0.81541,                0.54781,                 1.0987,                0.94555,                 1.6937,             0.00056931,             0.00056931,             0.00056931
                     20,                0.84551,                0.85313,                 1.3283,                0.79904,                 0.7587,                0.83899,                 0.5676,                 1.0698,                0.93404,                 1.6512,             0.00056622,             0.00056622,             0.00056622
                     21,                0.82452,                0.83979,                 1.3132,                0.86032,                0.75788,                0.85508,                0.58941,                 1.0447,                0.84443,                 1.6435,             0.00056313,             0.00056313,             0.00056313
                     22,                0.80904,                0.81758,                 1.2992,                0.75246,                0.71595,                0.79992,                0.53385,                 1.1055,                 1.0403,                 1.6899,             0.00056003,             0.00056003,             0.00056003
                     23,                0.81674,                0.83538,                 1.3089,                0.80925,                0.75849,                0.83415,                0.56909,                  1.067,                0.92739,                 1.6539,             0.00055694,             0.00055694,             0.00055694
                     24,                0.83106,                0.81927,                 1.3074,                0.83529,                0.75144,                0.84637,                0.58026,                 1.0581,                0.86259,                 1.6279,             0.00055384,             0.00055384,             0.00055384
                     25,                0.81943,                0.82133,                 1.3091,                0.81037,                0.76633,                0.83138,                0.55412,                  1.111,                0.93998,                 1.6986,             0.00055075,             0.00055075,             0.00055075
                     26,                0.81934,                0.81106,                 1.3082,                 0.8223,                 0.7871,                0.84523,                0.57797,                 1.0795,                0.87046,                 1.6503,             0.00054766,             0.00054766,             0.00054766
                     27,                0.80014,                0.79193,                 1.2847,                0.83713,                0.78662,                0.84321,                0.57743,                 1.0604,                0.85997,                 1.6386,             0.00054456,             0.00054456,             0.00054456
                     28,                0.81614,                 0.7906,                 1.3025,                0.83446,                 0.7692,                0.83581,                0.57977,                 1.0583,                0.83538,                 1.6451,             0.00054147,             0.00054147,             0.00054147
                     29,                0.79029,                0.77803,                 1.2839,                0.82843,                0.76486,                0.84109,                0.57198,                 1.0763,                0.85422,                 1.6477,             0.00053838,             0.00053838,             0.00053838
                     30,                0.79886,                0.78267,                 1.2925,                 0.8118,                0.79561,                0.85618,                0.59541,                 1.0349,                0.82246,                 1.6025,             0.00053528,             0.00053528,             0.00053528
                     31,                0.78406,                0.75826,                 1.2788,                 0.8585,                0.79164,                0.86456,                0.60193,                 1.0528,                0.78446,                 1.6442,             0.00053219,             0.00053219,             0.00053219
                     32,                0.78032,                0.76804,                 1.2791,                0.85909,                0.76862,                0.86024,                0.58295,                 1.0693,                0.82692,                 1.6581,             0.00052909,             0.00052909,             0.00052909
                     33,                0.78386,                0.75453,                 1.2788,                0.86856,                0.75039,                0.85261,                0.59158,                 1.0435,                0.82302,                 1.6584,               0.000526,               0.000526,               0.000526
                     34,                0.78957,                 0.7567,                 1.2827,                0.82407,                0.78898,                0.86036,                0.59107,                 1.0536,                   0.84,                 1.6462,             0.00052291,             0.00052291,             0.00052291
